Image,Parent,Numeral,Name,radius,semi_major_axis,orbital_period,Discovery_year,Discovered_by,Notes,Ref(s)
"","Saturn","—","S/2004 S 12","2.5","19,878,000","1,046.19 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)","[15]"
"","Saturn","—","S/2004 S 13","3","18,404,000","933.48 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)","[15]"
"","Saturn","—","S/2004 S 17","2","19,447,000","1,014.70 (r)","2004","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)","[15]"
"","Saturn","—","S/2006 S 1","3","18,790,000","963.37 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2006 S 3","3","22,096,000","1,227.21 (r)","2006","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2007 S 2","3","16,725,000","808.08 (r)","2007","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2007 S 3","3","18,975,000","977.8 (r)","2007","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2009 S 1","0.15","117,000","0.471","2009","Cassini Imaging Science Team Cassini–Huygens","B-ring moonlet",""
"","Saturn","—","S/2004 S 20","3","19,418,000","1,010.55 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 21","3","22,645,000","1,272.61 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 22","3","20,636,000","1,107.13 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 23","4","21,163,000","1,149.82 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 24","3","22,901,000","1,294.25","2019","Sheppard, Jewitt, Kleyna, Marsden","Prograde irregular (group unknown, possibly Gallic?)",""
"","Saturn","—","S/2004 S 25","4","21,174,000","1,150.69 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 26","4","26,676,000","1,627.18 (r)","2019","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 27","6","19,976,000","1,054.45 (r)","2019","Sheppard, Jewitt, Kleyna, Marsden, Jacobson","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 28","4","22,020,000","1,220.31 (r)","2019","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 29","4","16,981,000","826.44","2019","Sheppard, Jewitt, Kleyna, Marsden","Prograde irregular (Inuit)",""
"","Saturn","—","S/2004 S 30","3","20,396,000","1,087.84 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 31","4","17,568,000","869.65","2019","Sheppard, Jewitt, Kleyna, Marsden","Prograde irregular (Inuit)",""
"","Saturn","—","S/2004 S 32","4","21,214,000","1,153.96 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 33","4","24,168,000","1,403.18 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 34","3","24,299,000","1,414.59 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 35","6","22,412,000","1,253.08 (r)","2019","Sheppard, Jewitt, Kleyna, Marsden","Retrograde irregular (Norse?)",""
"","Saturn","—","S/2004 S 36","3","23,192,000","1,319.07 (r)","2019","Sheppard, Jewitt, Kleyna","Retrograde irregular (Norse?)",""
